x,y
2.252228,3.129065
5.718155,5.505551
3.850699,4.332052
0.935455,3.681116
0.196173,1.533032
0.909666,4.844643
1.024407,2.465572
0.865764,0.741972
5.993655,1.387716
3.126301,5.050762
3.714575,1.846587
3.861558,3.193294
3.012140,5.839373
1.825849,4.651010
3.207795,4.642492
2.461349,5.360024
1.771557,2.179504
4.865575,5.522256
0.511556,5.701030
3.203373,0.607730
1.234062,4.013039
5.352372,2.158468
0.478611,0.218136
2.800440,0.472265
1.505852,5.826741
5.423028,5.120427
1.673328,3.284586
2.313721,4.585468
3.123959,4.039570
3.236478,0.331754
2.682062,5.597827
5.591778,4.353619
1.777331,4.457352
3.875875,2.188887
4.158382,1.079248
2.696617,5.292444
4.992286,2.048989
1.450912,5.370897
2.167125,4.151352
5.743163,3.572977
